Provinsi/Kabupaten/Kota,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun)
Pacitan,9033
Ponorogo,9883
Trenggalek,9865
Tulungagung,10891
Blitar,10861
Kediri,11146
Malang,10270
Lumajang,9274
Jember,9525
Banyuwangi,12264
Bondowoso,10665
Situbondo,10097
Probolinggo,10972
Pasuruan,10381
Sidoarjo,14609
Mojokerto,12860
Jombang,11533
Nganjuk,12200
Madiun,11650
Magetan,11779
Ngawi,11468
Bojonegoro,10265
Tuban,10499
Lamongan,11572
Gresik,13295
Bangkalan,8718
Sampang,8760
Pamekasan,8834
Sumenep,9082
Kota Kediri,12440
Kota Blitar,13851
Kota Malang,16666
Kota Probolinggo,12280
Kota Pasuruan,13393
Kota Mojokerto,13710
Kota Madiun,16040
Kota Surabaya,17854
Kota Batu,12870
BANTEN,12267
Pandeglang,8719
Lebak,8850
Tangerang,12476
Serang,10802
Kota Tangerang,14860
Kota Cilegon,13230
Kota Serang,13418
Kota Tangerang Selatan,15988
BALI,14146
Jembrana,11902
Tabanan,14608
Badung,17628
Gianyar,14623
Klungkung,11484
Bangli,11369
Karangasem,10302
Buleleng,13780
Kota Denpasar,19992
NUSA TENGGARA BARAT,10640
Lombok Barat,11647
Lombok Tengah,10196
Lombok Timur,9639
Sumbawa,9336
Dompu,9027
Bima,8631
Sumbawa Barat,11766
Lombok Utara,9279
Kota Mataram,15426
Kota Bima,11334
NUSA TENGGARA TIMUR,7769
Sumba Barat,7586
Sumba Timur,9640
Kupang,7698
Timor Tengah Selatan,6955
Timor Tengah Utara,6479
Belu,7677
Alor,6958
Lembata,7474
Flores Timur,7770
Sikka,8313
Ende,9315
Ngada,8961
Manggarai,7276
Rote Ndao,6720
Manggarai Barat,7602
Sumba Tengah,6198
Sumba Barat Daya,6594
Nagekeo,8469
Manggarai Timur,5919
Sabu Raijua,5354
Malaka,5998
Kota Kupang,13592
KALIMANTAN BARAT,9055
Sambas,9924
Bengkayang,9182
Landak,7403
Mempawah,7913
Sanggau,8410
Ketapang,9259
Sintang,8823
Kapuas Hulu,7206
Sekadau,7640
Melawi,8465
Kayong Utara,7905
Kubu Raya,8773
Kota Pontianak,14515
Kota Singkawang,11789
KALIMANTAN TENGAH,11236
Kotawaringin Barat,13175
Kotawaringin Timur,11905
Kapuas,11063
Barito Selatan,11582
Barito Utara,10010
Sukamara,8738
Lamandau,11278
