38 Provinsi,,,
,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2021,2021,2021
ACEH,83.87,71.41,75.54
SUMATERA UTARA,86.89,74,81.1
SUMATERA BARAT,89.33,75.51,82.29
RIAU,91.8,82.87,86.45
JAMBI,89.81,76.74,80.91
SUMATERA SELATAN,91.39,75.08,80.95
BENGKULU,90.81,71.81,78.03
LAMPUNG,89.33,80.93,83.49
KEP. BANGKA BELITUNG,86.15,78.62,82.89
KEP. RIAU,95.21,76.33,93.79
DKI JAKARTA,95.44,-,95.44
JAWA BARAT,88.02,72.07,84.26
JAWA TENGAH,86.45,79.14,82.88
DI YOGYAKARTA,89.61,78.28,86.88
JAWA TIMUR,84.78,73.58,79.66
BANTEN,92.35,74.96,87.45
BALI,91.83,77.83,87.8
NUSA TENGGARA BARAT,79.53,67.93,73.61
NUSA TENGGARA TIMUR,90.65,60.65,68.45
KALIMANTAN BARAT,90.41,73.12,79.23
KALIMANTAN TENGAH,89.94,73.57,80.27
KALIMANTAN SELATAN,89.21,77.53,83.11
KALIMANTAN TIMUR,92.53,83.4,89.67
KALIMANTAN UTARA,93.94,78.4,88.02
SULAWESI UTARA,87.21,74.98,81.57
SULAWESI TENGAH,88.88,70.89,76.51
SULAWESI SELATAN,90.82,75.71,82.36
SULAWESI TENGGARA,89.86,77.35,81.83
GORONTALO,89.61,74.22,80.89
SULAWESI BARAT,85.49,72.82,75.32
MALUKU,91.27,64.33,76.89
MALUKU UTARA,88.62,61.04,69.43
PAPUA BARAT,92.43,60.75,74.08
PAPUA BARAT DAYA,-,-,-
PAPUA,83.98,16.67,35.26
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,88.53,73.57,82.07
