Provinsi/Kabupaten/Kota,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun)
Pacitan,8887
Ponorogo,9851
Trenggalek,9743
Tulungagung,10807
Blitar,10757
Kediri,11127
Malang,10163
Lumajang,9203
Jember,9410
Banyuwangi,12217
Bondowoso,10690
Situbondo,9996
Probolinggo,10969
Pasuruan,10297
Sidoarjo,14578
Mojokerto,12844
Jombang,11394
Nganjuk,12172
Madiun,11658
Magetan,11833
Ngawi,11459
Bojonegoro,10221
Tuban,10380
Lamongan,11510
Gresik,13280
Bangkalan,8673
Sampang,8790
Pamekasan,8804
Sumenep,9000
Kota Kediri,12359
Kota Blitar,13816
Kota Malang,16663
Kota Probolinggo,12245
Kota Pasuruan,13354
Kota Mojokerto,13610
Kota Madiun,16095
Kota Surabaya,17862
Kota Batu,12887
BANTEN,12033
Pandeglang,8635
Lebak,8724
Tangerang,12273
Serang,10713
Kota Tangerang,14575
Kota Cilegon,13041
Kota Serang,13281
Kota Tangerang Selatan,15751
BALI,13820
Jembrana,11675
Tabanan,14326
Badung,17327
Gianyar,14391
Klungkung,11287
Bangli,11201
Karangasem,10175
Buleleng,13362
Kota Denpasar,19598
NUSA TENGGARA BARAT,10377
Lombok Barat,11334
Lombok Tengah,9962
Lombok Timur,9450
Sumbawa,9167
Dompu,8899
Bima,8495
Sumbawa Barat,11548
Lombok Utara,9057
Kota Mataram,14999
Kota Bima,11135
NUSA TENGGARA TIMUR,7554
Sumba Barat,7307
Sumba Timur,9354
Kupang,7476
Timor Tengah Selatan,6839
Timor Tengah Utara,6324
Belu,7431
Alor,6751
Lembata,7257
Flores Timur,7578
Sikka,8021
Ende,9027
Ngada,8819
Manggarai,7133
Rote Ndao,6503
Manggarai Barat,7410
Sumba Tengah,6061
Sumba Barat Daya,6355
Nagekeo,8254
Manggarai Timur,5780
Sabu Raijua,5256
Malaka,5861
Kota Kupang,13218
KALIMANTAN BARAT,8974
Sambas,9828
Bengkayang,9193
Landak,7431
Mempawah,7758
Sanggau,8328
Ketapang,9209
Sintang,8708
Kapuas Hulu,7168
Sekadau,7462
Melawi,8415
Kayong Utara,7920
Kubu Raya,8630
Kota Pontianak,14610
Kota Singkawang,11767
KALIMANTAN TENGAH,11182
Kotawaringin Barat,13117
Kotawaringin Timur,11866
Kapuas,11148
Barito Selatan,11492
Barito Utara,9951
Sukamara,8773
Lamandau,11234
Seruyan,9420
Katingan,10568
Pulang Pisau,10082
Gunung Mas,10809
Barito Timur,11322
Murung Raya,10449
Kota Palangka Raya,14070
KALIMANTAN SELATAN,12143
Tanah Laut,11310
Kotabaru,11720
Banjar,12707
Barito Kuala,9868
Tapin,11952
Hulu Sungai Selatan,12736
Hulu Sungai Tengah,12280
