38 Provinsi,,,
,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2020,2020,2020
ACEH,85.65,65.41,71.97
SUMATERA UTARA,82.04,64.83,74.12
SUMATERA BARAT,85.14,65.39,74.62
RIAU,89.82,74.47,80.61
JAMBI,86.45,70.65,75.56
SUMATERA SELATAN,88.48,67.36,74.85
BENGKULU,87.34,63.96,71.69
LAMPUNG,85.71,69.31,74.09
KEP. BANGKA BELITUNG,84.06,71.37,78.35
KEP. RIAU,93.08,73.77,91.15
DKI JAKARTA,93.24,-,93.24
JAWA BARAT,86.93,67.77,82.18
JAWA TENGAH,84.18,75.01,79.66
DI YOGYAKARTA,89.67,74.38,85.83
JAWA TIMUR,83.91,69.59,77.21
BANTEN,91.01,66.06,84.07
BALI,91.09,73.21,85.67
NUSA TENGGARA BARAT,76.95,62.71,69.51
NUSA TENGGARA TIMUR,87.5,46.78,56.87
KALIMANTAN BARAT,88.89,60.74,70.44
KALIMANTAN TENGAH,89.92,67.55,76.57
KALIMANTAN SELATAN,87.38,70.95,78.64
KALIMANTAN TIMUR,91.39,77.46,86.87
KALIMANTAN UTARA,92.79,76.99,86.58
SULAWESI UTARA,85.49,70.6,78.5
SULAWESI TENGAH,89.58,60.11,68.7
SULAWESI SELATAN,87.37,69.8,77.23
SULAWESI TENGGARA,87.49,68.49,75.87
GORONTALO,83.21,72.26,76.98
SULAWESI BARAT,81.17,61.52,66.03
MALUKU,86.81,48.1,65.86
MALUKU UTARA,89.53,50.57,62.39
PAPUA BARAT,90.71,60.05,72.62
PAPUA BARAT DAYA,-,-,-
PAPUA,81.54,18.21,35.25
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,86.81,67.19,78.18
