38 Provinsi,,,
,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2023,2023,2023
ACEH,89.84,84.59,86.46
SUMATERA UTARA,92.78,85.56,89.66
SUMATERA BARAT,92.81,87.03,89.92
RIAU,95.86,91.5,93.25
JAMBI,91.99,88.25,89.52
SUMATERA SELATAN,94.08,87.45,89.91
BENGKULU,93.99,86.13,88.82
LAMPUNG,91.13,87.76,88.88
KEP. BANGKA BELITUNG,91.49,90.67,91.16
KEP. RIAU,96.99,88.06,95.98
DKI JAKARTA,98.08,-,98.08
JAWA BARAT,90.29,79.48,87.92
JAWA TENGAH,87.5,83.5,85.61
DI YOGYAKARTA,92.25,83.93,90.18
JAWA TIMUR,87.87,79.73,84.28
BANTEN,93.91,81.48,91.18
BALI,91.06,78.35,87.15
NUSA TENGGARA BARAT,84.08,79.31,81.79
NUSA TENGGARA TIMUR,93.53,73.18,78.88
KALIMANTAN BARAT,92.99,85.71,88.45
KALIMANTAN TENGAH,93.14,84.5,88.27
KALIMANTAN SELATAN,91.78,85.15,88.45
KALIMANTAN TIMUR,94.87,88.75,92.98
KALIMANTAN UTARA,96.35,89.09,93.76
SULAWESI UTARA,88.96,81.95,85.86
SULAWESI TENGAH,91.86,81.03,84.61
SULAWESI SELATAN,93.67,85.96,89.52
SULAWESI TENGGARA,92.83,86.14,88.69
GORONTALO,93.01,83.6,87.93
SULAWESI BARAT,89.63,83.23,84.56
MALUKU,92.8,75.2,82.56
MALUKU UTARA,91.69,77.67,81.88
PAPUA BARAT,94.01,73.71,82.05
PAPUA BARAT DAYA,-,-,-
PAPUA,87.31,18.73,38.71
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,91.01,81.6,87.09
