Provinsi/Kabupaten/Kota,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun)
,2018
ACEH,9186
Simeulue,6824
Aceh Singkil,8506
Aceh Selatan,7891
Aceh Tenggara,7685
Aceh Timur,8252
Aceh Tengah,10394
Aceh Barat,9134
Aceh Besar,9192
Pidie,9492
Bireuen,8378
Aceh Utara,7919
Aceh Barat Daya,8093
Gayo Lues,8529
Aceh Tamiang,8032
Nagan Raya,7936
Aceh Jaya,9262
Bener Meriah,10626
Pidie Jaya,9967
Kota Banda Aceh,16234
Kota Sabang,10899
Kota Langsa,11497
Kota Lhokseumawe,10863
Kota Subulussalam,7039
SUMATERA UTARA,10391
Nias,6941
Mandailing Natal,9653
Tapanuli Selatan,11209
Tapanuli Tengah,10067
Tapanuli Utara,11607
Toba Samosir / Toba,12095
Labuhan Batu,11053
Asahan,10735
Simalungun,11311
Dairi,10492
Karo,12367
Deli Serdang,12132
Langkat,11088
Nias Selatan,6941
Humbang Hasundutan,7630
Pakpak Bharat,8099
Samosir,8348
Serdang Bedagai,10737
Batu Bara,10385
Padang Lawas Utara,9912
Padang Lawas,8772
Labuhan Batu Selatan,11280
Labuhan Batu Utara,11730
Nias Utara,6041
Nias Barat,5817
Kota Sibolga,11405
Kota Tanjung Balai,11102
Kota Pematang Siantar,12290
Kota Tebing Tinggi,12434
Kota Medan,14845
Kota Binjai,10750
Kota Padangsidimpuan,10795
Kota Gunungsitoli,7639
SUMATERA BARAT,10638
Kepulauan Mentawai,6211
Pesisir Selatan,9089
Solok,10035
Sijunjung,10277
Tanah Datar,10417
Padang Pariaman,10919
Agam,9489
Lima Puluh Kota,9500
Pasaman,8238
Solok Selatan,10199
Dharmasraya,11189
Pasaman Barat,8979
Kota Padang,14312
Kota Solok,11968
Kota Sawah Lunto,9765
Kota Padang Panjang,10440
Kota Bukittinggi,13035
Kota Payakumbuh,13114
Kota Pariaman,12611
RIAU,10968
Kuantan Singingi,10476
Indragiri Hulu,10481
Indragiri Hilir,10254
Pelalawan,11894
Siak,12119
Kampar,11128
Rokan Hulu,9608
Bengkalis,11640
Rokan Hilir,9316
Kepulauan Meranti,7978
Kota Pekanbaru,14778
Kota Dumai,12063
JAMBI,10357
