38 Provinsi,,,,
,Angka Partisipasi Sekolah (APS) Menurut Provinsi dan Kelompok Umur,,,
,7/12/01,13-15,16-18,19-23
,2019,2019,2019,2019
ACEH,99.75,98.52,83.26,34.84
SUMATERA UTARA,99.41,96.89,77.67,27.64
SUMATERA BARAT,99.52,96.23,83.63,38.79
RIAU,99.36,95.37,77.29,28.49
JAMBI,99.7,96.42,71.97,24.83
SUMATERA SELATAN,99.71,94.51,70.29,19.66
BENGKULU,99.77,97.18,79.39,33.14
LAMPUNG,99.8,94.89,71.05,22.37
KEP. BANGKA BELITUNG,99.76,92.87,67.79,18.45
KEP. RIAU,99.48,98.5,84.04,21.85
DKI JAKARTA,99.63,98.33,72.01,25.98
JAWA BARAT,99.53,94.18,67.29,23.7
JAWA TENGAH,99.77,96.11,69.65,24.12
DI YOGYAKARTA,99.9,99.56,88.97,56.74
JAWA TIMUR,99.65,97.43,72.74,26.33
BANTEN,99.44,95.79,68.72,23.3
BALI,99.74,97.72,82.83,31.23
NUSA TENGGARA BARAT,99.46,97.92,77.51,26.29
NUSA TENGGARA TIMUR,98.47,95.11,75.36,31.48
KALIMANTAN BARAT,98.52,92.85,68.37,25.1
KALIMANTAN TENGAH,99.66,94.09,66.95,25.14
KALIMANTAN SELATAN,99.53,92.83,69.19,26.92
KALIMANTAN TIMUR,99.68,98.83,81.81,33.09
KALIMANTAN UTARA,98.82,96.5,76.06,26.15
SULAWESI UTARA,99.39,95.18,74.04,24.44
SULAWESI TENGAH,98.4,93.01,75.73,29.21
SULAWESI SELATAN,99.23,93.22,70.85,35.67
SULAWESI TENGGARA,99.13,94.78,74.03,33.27
GORONTALO,98.96,91.64,71.44,34.45
SULAWESI BARAT,98.34,89.92,69.31,24.9
MALUKU,99.61,97.29,79.65,39.78
MALUKU UTARA,98.97,96.97,76.41,32.21
PAPUA BARAT,97.68,96.58,81.49,35.05
PAPUA BARAT DAYA,-,-,-,-
PAPUA,82.67,80.13,63.5,24.41
PAPUA SELATAN,-,-,-,-
PAPUA TENGAH,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-
INDONESIA,99.24,95.51,72.36,26.87
