38 Provinsi,,,,
,Angka Partisipasi Sekolah (APS) Menurut Provinsi dan Kelompok Umur,,,
,7/12/01,13-15,16-18,19-23
,2023,2023,2023,2023
ACEH,99.43,97.72,83.41,35.24
SUMATERA UTARA,99.51,96.76,79.25,31.08
SUMATERA BARAT,99.76,96.79,84.33,42.19
RIAU,99.65,95.89,78.15,32.32
JAMBI,99.49,96.01,72.46,25.79
SUMATERA SELATAN,99.41,95.27,71.71,21.49
BENGKULU,99.42,97.91,79.57,34.05
LAMPUNG,99.61,95.93,71.74,23.51
KEP. BANGKA BELITUNG,99.51,93.2,69.53,19.38
KEP. RIAU,99.29,99.07,84.97,22.43
DKI JAKARTA,99.49,98.17,72.5,28.43
JAWA BARAT,99.4,95.75,68.58,26.45
JAWA TENGAH,99.57,97.08,70.87,26.52
DI YOGYAKARTA,99.63,98.88,91.17,55.8
JAWA TIMUR,99.28,97.64,74.07,28.59
BANTEN,99.43,96.65,69.64,24.85
BALI,99.61,97.95,84.73,34.31
NUSA TENGGARA BARAT,99.46,97.95,77.46,28.45
NUSA TENGGARA TIMUR,98.62,94.89,75.93,33.03
KALIMANTAN BARAT,98.81,92.92,69.25,27.42
KALIMANTAN TENGAH,99.13,95.21,66.32,25.49
KALIMANTAN SELATAN,99.3,94.12,69.95,29.09
KALIMANTAN TIMUR,99.64,98.71,81.5,34.75
KALIMANTAN UTARA,99.22,96.96,77.03,30.83
SULAWESI UTARA,99.34,95,74.55,25.88
SULAWESI TENGAH,98.34,93.13,76.29,30.31
SULAWESI SELATAN,99.49,93.22,71,37.89
SULAWESI TENGGARA,99.2,95,74.6,33.59
GORONTALO,98.69,91.85,71.7,35.5
SULAWESI BARAT,98.31,89.47,71.57,25.42
MALUKU,99.59,97.97,79.9,40.27
MALUKU UTARA,99.12,97.51,78.38,32.19
PAPUA BARAT,98.41,97.42,80.58,35.74
PAPUA BARAT DAYA,-,-,-,-
PAPUA,83.61,80.91,64.15,26.06
PAPUA SELATAN,-,-,-,-
PAPUA TENGAH,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-
INDONESIA,99.16,96.1,73.42,28.96
