Provinsi/Kabupaten/Kota,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun)
,2023
ACEH,10334
Simeulue,7686
Aceh Singkil,9374
Aceh Selatan,8712
Aceh Tenggara,8566
Aceh Timur,9436
Aceh Tengah,11323
Aceh Barat,10085
Aceh Besar,10309
Pidie,10584
Bireuen,9758
Aceh Utara,8970
Aceh Barat Daya,9043
Gayo Lues,9407
Aceh Tamiang,9050
Nagan Raya,9062
Aceh Jaya,10461
Bener Meriah,11855
Pidie Jaya,11005
Kota Banda Aceh,17521
Kota Sabang,12137
Kota Langsa,12678
Kota Lhokseumawe,12125
Kota Subulussalam,8065
SUMATERA UTARA,11049
Nias,7301
Mandailing Natal,10251
Tapanuli Selatan,11829
Tapanuli Tengah,10690
Tapanuli Utara,12115
Toba Samosir / Toba,12676
Labuhan Batu,11670
Asahan,11795
Simalungun,11746
Dairi,10969
Karo,12779
Deli Serdang,12890
Langkat,11632
Nias Selatan,7299
Humbang Hasundutan,8476
Pakpak Bharat,8764
Samosir,9158
Serdang Bedagai,11695
Batu Bara,10933
Padang Lawas Utara,10615
Padang Lawas,9395
Labuhan Batu Selatan,11950
Labuhan Batu Utara,12429
Nias Utara,6788
Nias Barat,6382
Kota Sibolga,12285
Kota Tanjung Balai,11753
Kota Pematang Siantar,12984
Kota Tebing Tinggi,13385
Kota Medan,15674
Kota Binjai,11567
Kota Padangsidimpuan,11552
Kota Gunungsitoli,8635
SUMATERA BARAT,11380
Kepulauan Mentawai,6891
Pesisir Selatan,9953
Solok,10717
Sijunjung,11018
Tanah Datar,10905
Padang Pariaman,11432
Agam,10402
Lima Puluh Kota,10285
Pasaman,8908
Solok Selatan,10884
Dharmasraya,11901
Pasaman Barat,9538
Kota Padang,15089
Kota Solok,12709
Kota Sawah Lunto,10829
Kota Padang Panjang,11310
Kota Bukittinggi,13859
Kota Payakumbuh,13978
Kota Pariaman,13355
RIAU,11448
Kuantan Singingi,10945
Indragiri Hulu,10957
Indragiri Hilir,10659
Pelalawan,12399
Siak,12637
Kampar,11662
Rokan Hulu,10055
Bengkalis,12153
Rokan Hilir,10097
Kepulauan Meranti,8613
Kota Pekanbaru,14983
Kota Dumai,12457
JAMBI,11160
